iter	RMSE
0	143.5251598
1	139.8089302
2	136.0705816
3	132.5217811
4	129.0570783
5	125.6006834
6	122.2816448
7	118.9193307
8	115.8389951
9	112.94276
10	110.1077211
11	107.1687712
12	104.3625931
13	101.5754926
14	98.94517326
15	96.33255956
16	93.83971685
17	91.35075113
18	88.94999504
19	86.65036741
20	84.46601612
21	82.28223517
22	80.27788083
23	78.22734279
24	76.21005103
25	74.22539465
26	72.31291922
27	70.43089259
28	68.66098313
29	66.84019677
30	65.18309624
31	63.5552202
32	61.97865635
33	60.4087744
34	58.88100399
35	57.39366786
36	55.94691097
37	54.57859114
38	53.24966165
39	51.93428504
40	50.63927131
41	49.40583498
42	48.24575074
43	47.09706744
44	46.02219732
45	44.88003728
46	43.81452688
47	42.77678697
48	41.76084085
49	40.78725814
50	39.82018346
51	38.90141825
52	38.03726771
53	37.16828106
54	36.32258501
55	35.49546494
56	34.7053046
57	33.90167795
58	33.18016869
59	32.45255776
60	31.71326225
61	31.04196463
62	30.41092822
63	29.77300529
64	29.14503043
65	28.52519254
66	27.92535803
67	27.32299681
68	26.75283181
69	26.18841886
70	25.70434187
71	25.19803517
72	24.77603823
73	24.31512253
74	23.84366593
75	23.38053593
76	22.95543668
77	22.54964392
78	22.12741523
79	21.7462324
80	21.39293861
81	21.02847533
82	20.66798108
83	20.33149675
84	19.99803527
85	19.67421736
86	19.35911123
87	19.06238411
88	18.76374294
89	18.49494907
90	18.21464728
91	17.93957226
92	17.69511054
93	17.44916639
94	17.2211919
95	16.97789863
96	16.75718663
97	16.54229682
98	16.33403822
99	16.12887862
100	15.95006116
101	15.76471623
102	15.58023353
103	15.40901474
104	15.24114677
105	15.07799476
106	14.92233521
107	14.76663406
108	14.61610397
109	14.47781873
110	14.34250396
111	14.20536899
112	14.08078527
113	13.96887197
114	13.84597306
115	13.73329994
116	13.62835971
117	13.5136564
118	13.42162894
119	13.32083534
120	13.21600097
121	13.1251701
122	13.02939431
123	12.94236179
124	12.85393102
125	12.78367556
126	12.71128313
127	12.62629523
128	12.54839882
129	12.47453201
130	12.40136226
131	12.34043785
132	12.2715623
133	12.20824931
134	12.14740492
135	12.09012648
136	12.02757741
137	11.97019033
138	11.92038828
139	11.86669685
140	11.81265475
141	11.75708251
142	11.70509838
143	11.64998527
144	11.60210015
145	11.56097319
146	11.51859002
147	11.4730363
148	11.43705619
149	11.39161014
150	11.34624178
151	11.30685284
152	11.27474433
153	11.23922155
154	11.21080246
155	11.16410216
156	11.13039297
157	11.10284983
158	11.07093242
159	11.03750324
160	11.00069932
161	10.96126748
162	10.92570174
163	10.88692921
164	10.85165282
165	10.82041892
166	10.79678765
167	10.77003031
168	10.74966739
169	10.72111619
170	10.69672986
171	10.67713688
172	10.6484074
173	10.62645389
174	10.59946184
175	10.57659734
176	10.55583673
177	10.53227616
178	10.50899399
179	10.48823896
180	10.46766136
181	10.4496731
182	10.42508337
183	10.40016479
184	10.38650833
185	10.36594872
