iter	Passed	Remaining
0	3	3208
1	6	3055
2	9	3024
3	12	3207
4	15	3092
5	17	2981
6	20	2953
7	23	2860
8	25	2823
9	28	2788
10	30	2730
11	32	2709
12	35	2703
13	38	2684
14	40	2679
15	43	2702
16	46	2660
17	48	2663
18	51	2647
19	54	2656
20	56	2641
21	59	2632
22	60	2552
23	62	2546
24	64	2525
25	66	2488
26	67	2434
27	71	2474
28	73	2457
29	75	2435
30	79	2476
31	81	2471
32	84	2464
33	86	2456
34	88	2453
35	91	2454
36	92	2412
37	94	2399
38	97	2394
39	99	2388
40	101	2383
41	102	2333
42	105	2336
43	107	2334
44	109	2330
45	112	2327
46	114	2329
47	117	2322
48	118	2304
49	121	2301
50	123	2297
51	125	2296
52	128	2295
53	131	2299
54	133	2296
55	136	2303
56	139	2306
57	141	2303
58	144	2301
59	146	2294
60	148	2291
61	151	2284
62	153	2279
63	155	2275
64	158	2273
65	160	2273
66	163	2272
67	165	2273
68	168	2273
69	171	2273
70	173	2267
71	175	2263
72	178	2263
73	180	2258
74	183	2257
75	185	2259
76	186	2238
77	188	2232
78	191	2229
79	193	2227
80	196	2225
81	198	2225
82	200	2215
83	202	2210
84	205	2212
85	208	2216
86	210	2212
87	213	2211
88	216	2218
89	219	2215
90	221	2212
91	223	2210
92	226	2207
93	228	2204
94	231	2201
95	233	2198
96	236	2197
97	238	2194
98	240	2190
99	243	2187
100	245	2183
101	248	2187
102	250	2183
103	253	2180
104	254	2169
105	256	2165
106	259	2162
107	261	2158
108	263	2155
109	266	2153
110	268	2151
111	271	2153
112	273	2149
113	276	2147
114	278	2143
115	281	2143
116	283	2140
117	286	2140
118	288	2136
119	291	2136
120	293	2132
121	295	2128
122	298	2126
123	300	2122
124	302	2117
125	305	2115
126	307	2113
127	309	2111
128	312	2111
129	315	2111
130	317	2106
131	320	2105
132	322	2102
133	324	2098
134	327	2095
135	329	2095
136	332	2095
137	335	2093
138	337	2090
139	339	2088
140	342	2086
141	344	2083
142	347	2081
143	349	2080
144	352	2077
145	354	2074
146	357	2072
147	360	2076
148	363	2074
149	365	2072
150	368	2071
151	371	2070
152	373	2067
153	375	2065
154	378	2062
155	380	2060
156	383	2061
157	386	2058
158	388	2056
159	391	2054
160	393	2052
161	396	2050
162	398	2047
163	401	2046
164	404	2048
165	407	2046
166	410	2045
167	412	2043
168	414	2040
169	417	2037
170	419	2035
171	421	2031
172	424	2027
173	426	2024
174	428	2021
175	431	2017
176	433	2013
177	435	2012
178	438	2009
179	440	2007
180	442	2003
181	445	2001
182	447	1997
183	450	1996
184	452	1994
185	454	1990
186	457	1988
187	459	1984
188	461	1982
189	464	1980
190	466	1977
191	469	1975
192	471	1972
193	474	1970
194	476	1967
195	479	1964
196	481	1964
197	484	1962
198	486	1959
199	489	1957
200	491	1954
201	494	1953
202	496	1950
203	499	1947
204	501	1946
205	504	1944
206	507	1943
207	509	1941
208	512	1938
209	514	1935
210	517	1933
211	519	1930
212	522	1928
213	524	1927
214	527	1925
215	529	1923
216	532	1920
217	534	1918
218	537	1916
219	539	1913
220	542	1911
221	545	1910
222	547	1907
223	549	1903
224	550	1896
225	552	1893
226	555	1891
227	557	1888
228	560	1886
229	562	1883
230	565	1881
231	565	1872
232	567	1869
233	570	1867
234	572	1864
235	575	1863
236	577	1859
237	580	1858
238	582	1855
239	585	1853
240	587	1851
241	590	1849
242	592	1846
243	595	1843
244	597	1842
245	600	1840
246	602	1837
247	605	1834
248	607	1831
249	609	1828
250	611	1825
251	614	1823
252	616	1820
253	618	1817
254	621	1816
255	624	1813
256	626	1811
257	628	1808
258	631	1806
259	634	1804
260	636	1802
261	637	1795
262	640	1793
263	642	1792
264	646	1793
265	649	1792
266	652	1791
267	655	1790
268	658	1788
269	661	1788
270	664	1788
271	668	1789
272	672	1789
273	674	1787
274	677	1785
275	680	1784
276	683	1784
277	686	1782
278	688	1780
279	692	1779
280	695	1779
281	698	1777
282	700	1775
283	703	1773
284	705	1771
285	708	1768
286	711	1766
287	713	1764
288	716	1761
289	718	1760
290	721	1758
291	724	1756
292	726	1753
293	728	1750
294	731	1747
295	733	1745
296	736	1742
297	738	1739
298	740	1737
299	743	1735
300	746	1732
301	748	1729
302	748	1722
303	751	1719
304	753	1717
305	755	1714
306	758	1712
307	761	1709
308	764	1708
309	766	1706
310	769	1703
311	771	1701
312	772	1696
313	775	1694
314	778	1692
315	781	1690
316	783	1688
317	785	1685
318	787	1681
319	790	1680
320	793	1677
321	795	1675
322	798	1674
323	801	1671
324	803	1669
325	806	1666
326	808	1664
327	811	1661
328	813	1659
329	814	1652
330	816	1649
331	818	1647
332	821	1644
333	823	1641
334	825	1638
335	827	1635
336	829	1632
337	832	1630
338	834	1627
339	836	1624
340	838	1621
341	841	1618
342	843	1615
343	846	1613
344	848	1610
345	850	1607
346	853	1605
347	855	1602
348	857	1600
349	860	1597
350	862	1594
351	864	1592
352	866	1588
353	869	1586
354	871	1583
355	874	1581
356	876	1578
357	879	1576
358	881	1574
359	884	1571
360	886	1569
361	888	1566
362	891	1564
363	893	1561
364	895	1558
365	898	1556
366	900	1553
367	903	1551
368	906	1549
369	908	1547
370	911	1545
371	914	1543
372	917	1541
373	919	1539
374	922	1537
375	924	1535
376	927	1532
377	929	1529
378	932	1528
379	934	1525
380	937	1522
381	939	1519
382	941	1517
383	943	1514
384	946	1512
385	948	1509
386	951	1506
387	953	1503
388	956	1501
389	958	1498
390	960	1496
391	963	1493
392	965	1491
393	967	1488
394	970	1486
395	973	1484
396	975	1481
397	978	1480
398	981	1478
399	983	1475
400	985	1472
401	988	1470
402	991	1468
