ticker,S,K,T,maturity_days,r,sigma,option_type,target_price
NVDA,206.94500732421875,620.0,0.021917808219178082,8,0.04,0.0,call,693.15
META,595.3900146484375,580.0,0.4465753424657534,163,0.04,0.3721376263427735,put,49.92
AAPL,292.6099853515625,330.0,0.4465753424657534,163,0.04,0.30274134765625,call,11.4
META,595.3900146484375,25.0,1.5205479452054795,555,0.04,0.500005,put,0.08
GOOGL,367.2699890136719,430.0,1.0191780821917809,372,0.04,0.3251486553192138,put,95.35
TSLA,406.9920959472656,70.0,1.6164383561643836,590,0.04,1.1734660467529296,call,333.94
META,595.3900146484375,1260.0,1.2712328767123289,464,0.04,0.45808952560424815,call,18.5
TSLA,406.9920959472656,580.0,0.019178082191780823,7,0.04,0.84961087890625,call,0.11
NVDA,206.94500732421875,2280.0,0.5232876712328767,191,0.04,1.0000000000000003e-05,put,1083.0
TSLA,406.9920959472656,60.0,1.6164383561643836,590,0.04,1.5850850823974605,call,293.95
GOOGL,367.2699890136719,65.0,0.5232876712328767,191,0.04,0.500005,put,0.05
NVDA,206.94500732421875,145.0,0.6,219,0.04,0.6355016918945313,call,72.1
MSFT,409.6400146484375,280.0,1.5205479452054795,555,0.04,0.33922474746704095,put,11.1
META,595.3900146484375,1240.0,1.2712328767123289,464,0.04,0.454732625579834,call,15.42
MSFT,409.6400146484375,605.0,1.5205479452054795,555,0.04,0.3921416987609863,call,29.57
MSFT,409.6400146484375,425.0,2.5178082191780824,919,0.04,0.27629050132751454,put,75.75
META,595.3900146484375,970.0,0.6,219,0.04,0.4412745082092285,call,8.08
TSLA,406.9920959472656,495.0,0.4465753424657534,163,0.04,1.0000000000000003e-05,put,130.7
MSFT,409.6400146484375,570.0,1.5205479452054795,555,0.04,0.39063109375,call,33.25
MSFT,409.6400146484375,430.0,1.2712328767123289,464,0.04,0.3955748919677735,call,63.08
TSLA,406.9920959472656,90.0,1.0191780821917809,372,0.04,1.8713995687866212,call,376.49
TSLA,406.9920959472656,490.0,0.273972602739726,100,0.04,0.4143735321044921,put,87.26
META,595.3900146484375,1390.0,2.0191780821917806,737,0.04,0.45778435287475594,call,23.9
TSLA,406.9920959472656,325.0,0.0821917808219178,30,0.04,0.52539537109375,put,1.84
TSLA,406.9920959472656,730.0,0.06027397260273973,22,0.04,0.8437515624999999,call,0.14
META,595.3900146484375,310.0,1.0191780821917809,372,0.04,0.6130257203674319,call,326.0
GOOGL,367.2699890136719,367.5,0.019178082191780823,7,0.04,0.2708813146972656,put,10.2
GOOGL,367.2699890136719,155.0,1.2712328767123289,464,0.04,0.43677321044921874,put,1.52
MSFT,409.6400146484375,625.0,1.6164383561643836,590,0.04,0.23249058532714845,put,176.73
GOOGL,367.2699890136719,495.0,1.0191780821917809,372,0.04,0.42198759170532224,call,21.8
MSFT,409.6400146484375,345.0,0.4465753424657534,163,0.04,0.34799846343994134,put,10.85
TSLA,406.9920959472656,435.0,0.043835616438356165,16,0.04,0.33289241333007813,put,29.37
TSLA,406.9920959472656,5.0,2.0191780821917806,737,0.04,1.0859420703125,put,0.04
MSFT,409.6400146484375,500.0,0.043835616438356165,16,0.04,1.0000000000000003e-05,put,61.1
AMZN,247.50999450683594,267.5,0.019178082191780823,7,0.04,0.23535920898437498,put,15.0
GOOGL,367.2699890136719,550.0,0.06027397260273973,22,0.04,0.629886513671875,call,0.09
NVDA,206.94500732421875,45.0,1.6164383561643836,590,0.04,0.6044961425781252,put,0.6
MSFT,409.6400146484375,310.0,0.4465753424657534,163,0.04,0.37186297088623044,put,5.1
META,595.3900146484375,435.0,0.4465753424657534,163,0.04,0.41370215209960937,put,8.75
META,595.3900146484375,880.0,0.10136986301369863,37,0.04,0.5349167602539062,call,0.48
AMZN,247.50999450683594,130.0,0.021917808219178082,8,0.04,2.311527658691406,call,116.98
GOOGL,367.2699890136719,410.0,0.19726027397260273,72,0.04,0.39731437652587887,call,11.22
GOOGL,367.2699890136719,105.0,0.005479452054794521,2,0.04,0.500005,put,0.01
MSFT,409.6400146484375,255.0,0.021917808219178082,8,0.04,1.7045913208007812,call,190.95
AAPL,292.6099853515625,230.0,1.5205479452054795,555,0.04,0.436880020904541,call,104.04
AAPL,292.6099853515625,110.0,1.0191780821917809,372,0.04,0.8428360443115235,call,202.77
TSLA,406.9920959472656,710.0,1.0191780821917809,372,0.04,1.0000000000000003e-05,put,350.9
MSFT,409.6400146484375,415.0,0.043835616438356165,16,0.04,0.33600517517089845,call,9.92
NVDA,206.94500732421875,195.0,0.019178082191780823,7,0.04,0.6333044482421876,call,14.5
MSFT,409.6400146484375,655.0,2.5178082191780824,919,0.04,1.0000000000000003e-05,put,260.25
META,595.3900146484375,30.0,1.5205479452054795,555,0.04,0.0,call,621.4
TSLA,406.9920959472656,145.0,1.2712328767123289,464,0.04,0.6118202880859377,put,5.0
AMZN,247.50999450683594,190.0,1.6164383561643836,590,0.04,0.5055286264038085,call,84.0
TSLA,406.9920959472656,720.0,1.6164383561643836,590,0.04,0.38471074279785156,put,346.35
TSLA,406.9920959472656,410.0,2.5178082191780824,919,0.04,0.6148643860626221,call,154.8
TSLA,406.9920959472656,75.0,0.6,219,0.04,0.9521489160156249,put,0.42
META,595.3900146484375,720.0,0.4465753424657534,163,0.04,0.41963776168823247,put,100.55
AAPL,292.6099853515625,230.0,0.10136986301369863,37,0.04,0.37964487548828124,put,0.31
AAPL,292.6099853515625,295.0,0.5232876712328767,191,0.04,0.3334264656066895,call,27.0
AAPL,292.6099853515625,420.0,0.19726027397260273,72,0.04,1.0000000000000003e-05,put,143.0
MSFT,409.6400146484375,420.0,0.0136986301369863,5,0.04,0.2576978527832031,put,11.99
GOOGL,367.2699890136719,250.0,0.3506849315068493,128,0.04,0.42017181396484377,put,1.8
MSFT,409.6400146484375,660.0,0.4465753424657534,163,0.04,0.41785250122070305,call,2.3
AMZN,247.50999450683594,270.0,0.273972602739726,100,0.04,0.38684695190429685,call,11.59
META,595.3900146484375,1090.0,1.6164383561643836,590,0.04,1.0000000000000003e-05,put,475.45
MSFT,409.6400146484375,205.0,0.5232876712328767,191,0.04,0.46851117431640626,put,0.36
MSFT,409.6400146484375,402.5,0.0136986301369863,5,0.04,0.2867502966308593,put,4.15
MSFT,409.6400146484375,265.0,0.19726027397260273,72,0.04,1.0000000000000003e-05,call,153.31
TSLA,406.9920959472656,760.0,0.10136986301369863,37,0.04,1.346621919250488,put,327.7
NVDA,206.94500732421875,120.0,0.273972602739726,100,0.04,0.5654340332031251,put,0.66
AMZN,247.50999450683594,290.0,0.005479452054794521,2,0.04,0.500005,call,0.01
META,595.3900146484375,545.0,0.273972602739726,100,0.04,0.42030914169311523,call,78.5
TSLA,406.9920959472656,240.0,0.10136986301369863,37,0.04,0.7607445800781252,put,0.53
TSLA,406.9920959472656,500.0,0.043835616438356165,16,0.04,0.57812921875,call,1.33
TSLA,406.9920959472656,770.0,0.6,219,0.04,1.0000000000000003e-05,put,364.4
META,595.3900146484375,135.0,2.5178082191780824,919,0.04,0.5125170819091796,put,2.12
MSFT,409.6400146484375,230.0,0.6,219,0.04,0.3996642065429688,put,1.01
NVDA,206.94500732421875,295.0,0.043835616438356165,16,0.04,0.6289099609375001,call,0.06
AMZN,247.50999450683594,130.0,1.5205479452054795,555,0.04,0.4033873138427735,put,3.22
META,595.3900146484375,710.0,0.5232876712328767,191,0.04,0.34848673980712885,put,142.6
META,595.3900146484375,490.0,0.06027397260273973,22,0.04,0.5972940661621093,call,124.15
GOOGL,367.2699890136719,70.0,0.5232876712328767,191,0.04,1.483278950805664,call,300.0
TSLA,406.9920959472656,440.0,0.6,219,0.04,0.549656603088379,call,57.0
NVDA,206.94500732421875,215.0,0.03287671232876712,12,0.04,0.19947089599609374,put,8.63
GOOGL,367.2699890136719,395.0,0.6,219,0.04,0.4132443930053711,call,31.4
AMZN,247.50999450683594,105.0,1.0986301369863014,401,0.04,0.4508111560058594,put,1.01
META,595.3900146484375,790.0,0.10136986301369863,37,0.04,0.510869149169922,put,182.69
TSLA,406.9920959472656,30.0,0.021917808219178082,8,0.04,5.7890652636718745,put,0.01
META,595.3900146484375,530.0,0.12054794520547946,44,0.04,0.42496302581787115,call,68.0
NVDA,206.94500732421875,32.0,0.021917808219178082,8,0.04,3.3750015624999996,put,0.01
GOOGL,367.2699890136719,45.0,0.6,219,0.04,0.8906260937499999,put,0.05
META,595.3900146484375,920.0,0.19726027397260273,72,0.04,0.5007374145507812,call,1.73
GOOGL,367.2699890136719,200.0,1.5205479452054795,555,0.04,0.5841106042480468,call,189.0
META,595.3900146484375,622.5,0.0136986301369863,5,0.04,0.33801931518554684,call,2.79
GOOGL,367.2699890136719,800.0,1.6164383561643836,590,0.04,0.4355830368041992,call,9.75
TSLA,406.9920959472656,850.0,0.021917808219178082,8,0.04,1.0000000000000003e-05,put,471.79
META,595.3900146484375,35.0,1.5205479452054795,555,0.04,0.0,call,632.05
AAPL,292.6099853515625,260.0,0.4465753424657534,163,0.04,0.264106480102539,put,6.54
META,595.3900146484375,480.0,1.6164383561643836,590,0.04,0.3637835228729248,put,50.3
META,595.3900146484375,720.0,1.2712328767123289,464,0.04,0.44024455024719233,call,71.7
GOOGL,367.2699890136719,330.0,2.5178082191780824,919,0.04,0.31838145004272456,put,51.9
AAPL,292.6099853515625,370.0,0.6,219,0.04,1.0000000000000003e-05,put,59.85
TSLA,406.9920959472656,375.0,0.03287671232876712,12,0.04,0.6722444885253909,call,37.25
GOOGL,367.2699890136719,225.0,0.10136986301369863,37,0.04,0.64062859375,put,0.2
NVDA,206.94500732421875,195.0,1.2712328767123289,464,0.04,0.5358933129882812,call,52.77
TSLA,406.9920959472656,225.0,0.5232876712328767,191,0.04,0.5827068096923829,put,4.9
MSFT,409.6400146484375,330.0,0.005479452054794521,2,0.04,0.804689453125,put,0.05
NVDA,206.94500732421875,8.0,0.5232876712328767,191,0.04,1.640626796875,put,0.01
GOOGL,367.2699890136719,700.0,0.4465753424657534,163,0.04,0.4514215014648438,call,0.8
AMZN,247.50999450683594,375.0,0.6,219,0.04,0.39398799377441407,put,117.3
META,595.3900146484375,727.5,0.005479452054794521,2,0.04,0.7929708203125,call,0.05
NVDA,206.94500732421875,340.0,0.19726027397260273,72,0.04,1.0000000000000003e-05,put,109.82
META,595.3900146484375,577.5,0.0136986301369863,5,0.04,0.3437565625,put,4.8
GOOGL,367.2699890136719,320.0,0.19726027397260273,72,0.04,0.5069324209594727,call,51.7
TSLA,406.9920959472656,300.0,0.021917808219178082,8,0.04,0.8378922460937499,put,0.24
MSFT,409.6400146484375,525.0,1.2712328767123289,464,0.04,0.267860104675293,put,116.51
TSLA,406.9920959472656,840.0,0.19726027397260273,72,0.04,0.710940390625,call,0.73
GOOGL,367.2699890136719,290.0,2.0191780821917806,737,0.04,0.504536815032959,call,129.52
META,595.3900146484375,130.0,1.2712328767123289,464,0.04,6.027346215820312,call,542.45
GOOGL,367.2699890136719,640.0,1.6164383561643836,590,0.04,0.4308986354064942,call,21.2
TSLA,406.9920959472656,960.0,0.6,219,0.04,0.8238543005371093,put,520.5
GOOGL,367.2699890136719,280.0,1.6164383561643836,590,0.04,0.5112811323547364,call,125.0
META,595.3900146484375,1080.0,0.043835616438356165,16,0.04,0.9257819921875,call,0.05
TSLA,406.9920959472656,590.0,0.7726027397260274,282,0.04,1.0000000000000003e-05,put,246.05
TSLA,406.9920959472656,160.0,0.273972602739726,100,0.04,0.8173846386718748,put,0.63
TSLA,406.9920959472656,410.0,0.021917808219178082,8,0.04,0.5908244042968751,call,14.6
TSLA,406.9920959472656,540.0,0.12054794520547946,44,0.04,0.5731243859863282,call,3.8
NVDA,206.94500732421875,1250.0,0.5232876712328767,191,0.04,1.0000000000000003e-05,put,316.94
TSLA,406.9920959472656,670.0,0.3506849315068493,128,0.04,0.5814250842285156,call,6.2
AAPL,292.6099853515625,385.0,1.5205479452054795,555,0.04,0.12497823272705078,put,83.66
MSFT,409.6400146484375,495.0,1.2712328767123289,464,0.04,0.3870453141784667,call,35.8
GOOGL,367.2699890136719,25.0,0.021917808219178082,8,0.04,1.0000000000000003e-05,call,274.2
GOOGL,367.2699890136719,360.0,0.4465753424657534,163,0.04,0.43334001724243165,call,44.8
NVDA,206.94500732421875,2150.0,0.5232876712328767,191,0.04,5.6431303874969485,call,147.0
MSFT,409.6400146484375,390.0,0.5232876712328767,191,0.04,0.3186408468627929,put,26.93
META,595.3900146484375,1290.0,0.6,219,0.04,1.0000000000000003e-05,put,554.17
MSFT,409.6400146484375,450.0,0.005479452054794521,2,0.04,0.42383388671875,call,0.11
NVDA,206.94500732421875,160.0,0.043835616438356165,16,0.04,1.1489300366210937,call,50.58
MSFT,409.6400146484375,470.0,0.06027397260273973,22,0.04,0.3096992858886719,put,57.8
META,595.3900146484375,400.0,0.0821917808219178,30,0.04,0.614261669921875,put,0.38
NVDA,206.94500732421875,1830.0,0.5232876712328767,191,0.04,0.0,call,227.74
GOOGL,367.2699890136719,50.0,0.021917808219178082,8,0.04,3.50000125,put,0.32
GOOGL,367.2699890136719,435.0,0.5232876712328767,191,0.04,0.29624116851806637,put,82.75
NVDA,206.94500732421875,2400.0,0.5232876712328767,191,0.04,4.583988645019532,call,151.0
TSLA,406.9920959472656,250.0,0.10136986301369863,37,0.04,0.7290066162109375,put,0.61
META,595.3900146484375,505.0,0.005479452054794521,2,0.04,1.0000000000000003e-05,call,104.85
META,595.3900146484375,1090.0,0.5232876712328767,191,0.04,0.4754996298217773,call,5.5
AAPL,292.6099853515625,180.0,0.5232876712328767,191,0.04,0.6645846530151369,call,138.15
GOOGL,367.2699890136719,550.0,0.4465753424657534,163,0.04,0.4111081838989258,call,4.25
MSFT,409.6400146484375,560.0,0.0821917808219178,30,0.04,0.5009815527343751,call,0.18
